question_id,video_id,video_path,correct_idx,pred_idx,is_correct,response,num_frames,frame_height,frame_width,total_pixels,requested_pixels,input_tokens,output_tokens,sample_fps_eff
fine_grained_action_localization_323,P02-20240211-111822,/content/drive/MyDrive/381V final project/eval data/trimmed_clips/fine_grained_action_localization_323.mp4,0,1,0,1,4,1408,1408,7929856,262144,563,2,0.02516778507381295
fine_grained_action_localization_331,P02-20240211-111822,/content/drive/MyDrive/381V final project/eval data/trimmed_clips/fine_grained_action_localization_331.mp4,2,3,0,3,4,1408,1408,7929856,262144,564,2,0.014272121789582003
fine_grained_action_localization_356,P02-20240209-194141,/content/drive/MyDrive/381V final project/eval data/trimmed_clips/fine_grained_action_localization_356.mp4,1,0,0,0,4,1408,1408,7929856,262144,562,2,0.01241208086330839
fine_grained_action_localization_367,P02-20240211-120927,/content/drive/MyDrive/381V final project/eval data/trimmed_clips/fine_grained_action_localization_367.mp4,0,0,1,0,4,1408,1408,7929856,262144,564,2,0.008150512769209722
fine_grained_action_localization_385,P02-20240211-141313,/content/drive/MyDrive/381V final project/eval data/trimmed_clips/fine_grained_action_localization_385.mp4,1,1,1,1,4,1408,1408,7929856,262144,566,2,0.009039547856316964
fine_grained_action_localization_413,P02-20240211-141313,/content/drive/MyDrive/381V final project/eval data/trimmed_clips/fine_grained_action_localization_413.mp4,1,0,0,0,4,1408,1408,7929856,262144,561,2,0.03065917339596898
fine_grained_action_localization_432,P02-20240211-141313,/content/drive/MyDrive/381V final project/eval data/trimmed_clips/fine_grained_action_localization_432.mp4,3,0,0,0,4,1408,1408,7929856,262144,563,2,0.02054794522225689
fine_grained_action_localization_457,P02-20240211-120927,/content/drive/MyDrive/381V final project/eval data/trimmed_clips/fine_grained_action_localization_457.mp4,4,0,0,0,4,1408,1408,7929856,262144,566,2,0.017311021730120852
fine_grained_action_localization_471,P02-20240211-120927,/content/drive/MyDrive/381V final project/eval data/trimmed_clips/fine_grained_action_localization_471.mp4,2,3,0,3,4,1408,1408,7929856,262144,563,2,0.01306051414727566
fine_grained_action_localization_485,P02-20240211-175138,/content/drive/MyDrive/381V final project/eval data/trimmed_clips/fine_grained_action_localization_485.mp4,1,0,0,0,4,1408,1408,7929856,262144,566,2,0.012578615868875768
fine_grained_action_localization_515,P02-20240209-184316,/content/drive/MyDrive/381V final project/eval data/trimmed_clips/fine_grained_action_localization_515.mp4,1,0,0,0,4,1408,1408,7929856,262144,564,2,0.015980822558762584
fine_grained_action_localization_536,P02-20240211-141313,/content/drive/MyDrive/381V final project/eval data/trimmed_clips/fine_grained_action_localization_536.mp4,2,0,0,0,4,1408,1408,7929856,262144,565,2,0.008214114347075564
fine_grained_action_localization_567,P02-20240211-120927,/content/drive/MyDrive/381V final project/eval data/trimmed_clips/fine_grained_action_localization_567.mp4,2,0,0,0,4,1408,1408,7929856,262144,562,2,0.014270425275849225
fine_grained_action_localization_583,P02-20240211-175138,/content/drive/MyDrive/381V final project/eval data/trimmed_clips/fine_grained_action_localization_583.mp4,3,0,0,0,4,1408,1408,7929856,262144,562,2,0.011595322809855545
fine_grained_action_localization_598,P02-20240211-111822,/content/drive/MyDrive/381V final project/eval data/trimmed_clips/fine_grained_action_localization_598.mp4,2,1,0,1,4,1408,1408,7929856,262144,563,2,0.02516778507381295
fine_grained_action_localization_607,P02-20240211-120927,/content/drive/MyDrive/381V final project/eval data/trimmed_clips/fine_grained_action_localization_607.mp4,4,0,0,0,4,1408,1408,7929856,262144,562,2,0.01306051414727566
fine_grained_action_localization_640,P02-20240209-184316,/content/drive/MyDrive/381V final project/eval data/trimmed_clips/fine_grained_action_localization_640.mp4,0,0,1,0,4,1408,1408,7929856,262144,565,2,0.021711598340379386
fine_grained_action_localization_653,P02-20240209-194141,/content/drive/MyDrive/381V final project/eval data/trimmed_clips/fine_grained_action_localization_653.mp4,2,2,1,2,4,1408,1408,7929856,262144,562,2,0.01241208086330839
fine_grained_action_localization_666,P02-20240211-175138,/content/drive/MyDrive/381V final project/eval data/trimmed_clips/fine_grained_action_localization_666.mp4,0,2,0,2,4,1408,1408,7929856,262144,562,2,0.011595322809855545
fine_grained_action_localization_687,P02-20240211-111822,/content/drive/MyDrive/381V final project/eval data/trimmed_clips/fine_grained_action_localization_687.mp4,0,0,1,0,4,1408,1408,7929856,262144,563,2,0.026572187414155034
fine_grained_action_localization_709,P02-20240211-120927,/content/drive/MyDrive/381V final project/eval data/trimmed_clips/fine_grained_action_localization_709.mp4,1,1,1,1,4,1408,1408,7929856,262144,563,2,0.00860955649472974
fine_grained_action_localization_723,P02-20240211-175138,/content/drive/MyDrive/381V final project/eval data/trimmed_clips/fine_grained_action_localization_723.mp4,3,0,0,0,4,1408,1408,7929856,262144,562,2,0.019417476111604968
fine_grained_action_localization_731,P02-20240209-194141,/content/drive/MyDrive/381V final project/eval data/trimmed_clips/fine_grained_action_localization_731.mp4,1,0,0,0,4,1408,1408,7929856,262144,562,2,0.010024225364454135
fine_grained_action_localization_758,P02-20240211-111822,/content/drive/MyDrive/381V final project/eval data/trimmed_clips/fine_grained_action_localization_758.mp4,4,0,0,0,4,1408,1408,7929856,262144,565,2,0.015159171072175707
fine_grained_action_localization_776,P02-20240211-141313,/content/drive/MyDrive/381V final project/eval data/trimmed_clips/fine_grained_action_localization_776.mp4,3,3,1,3,4,1408,1408,7929856,262144,564,2,0.0192585457763954
fine_grained_action_localization_791,P02-20240211-141313,/content/drive/MyDrive/381V final project/eval data/trimmed_clips/fine_grained_action_localization_791.mp4,0,0,1,0,4,1408,1408,7929856,262144,565,2,0.0192585457763954
fine_grained_action_localization_818,P02-20240209-184316,/content/drive/MyDrive/381V final project/eval data/trimmed_clips/fine_grained_action_localization_818.mp4,4,1,0,1,4,1408,1408,7929856,262144,562,2,0.015833222999861462
fine_grained_action_localization_858,P02-20240209-184316,/content/drive/MyDrive/381V final project/eval data/trimmed_clips/fine_grained_action_localization_858.mp4,3,2,0,2,4,1408,1408,7929856,262144,565,2,0.021917808591413512
fine_grained_action_localization_912,P02-20240209-194141,/content/drive/MyDrive/381V final project/eval data/trimmed_clips/fine_grained_action_localization_912.mp4,4,1,0,1,4,1408,1408,7929856,262144,562,2,0.009761652729387548
fine_grained_action_localization_935,P02-20240211-111822,/content/drive/MyDrive/381V final project/eval data/trimmed_clips/fine_grained_action_localization_935.mp4,1,0,0,0,4,1408,1408,7929856,262144,564,2,0.008970621050519314
fine_grained_action_localization_943,P02-20240211-111822,/content/drive/MyDrive/381V final project/eval data/trimmed_clips/fine_grained_action_localization_943.mp4,1,0,0,0,4,1408,1408,7929856,262144,562,2,0.02516778507381295
fine_grained_action_localization_954,P02-20240211-120927,/content/drive/MyDrive/381V final project/eval data/trimmed_clips/fine_grained_action_localization_954.mp4,1,1,1,1,4,1408,1408,7929856,262144,564,2,0.016652789190145397
fine_grained_action_localization_967,P02-20240211-141313,/content/drive/MyDrive/381V final project/eval data/trimmed_clips/fine_grained_action_localization_967.mp4,4,1,0,1,4,1408,1408,7929856,262144,562,2,0.019801980712205555
fine_grained_action_localization_976,P02-20240211-141313,/content/drive/MyDrive/381V final project/eval data/trimmed_clips/fine_grained_action_localization_976.mp4,4,1,0,1,4,1408,1408,7929856,262144,564,2,0.008214114347075564
fine_grained_action_localization_1001,P02-20240209-184316,/content/drive/MyDrive/381V final project/eval data/trimmed_clips/fine_grained_action_localization_1001.mp4,4,1,0,1,4,1408,1408,7929856,262144,563,2,0.021917808591413512
fine_grained_action_localization_1022,P02-20240211-141313,/content/drive/MyDrive/381V final project/eval data/trimmed_clips/fine_grained_action_localization_1022.mp4,1,3,0,3,4,1408,1408,7929856,262144,563,2,0.008214114347075564
fine_grained_action_localization_1049,P02-20240211-141313,/content/drive/MyDrive/381V final project/eval data/trimmed_clips/fine_grained_action_localization_1049.mp4,2,1,0,1,4,1408,1408,7929856,262144,565,2,0.008214114347075564
fine_grained_action_localization_1075,P02-20240209-184316,/content/drive/MyDrive/381V final project/eval data/trimmed_clips/fine_grained_action_localization_1075.mp4,1,0,0,0,4,1408,1408,7929856,262144,562,2,0.021711598340379386
fine_grained_action_localization_1094,P02-20240211-175138,/content/drive/MyDrive/381V final project/eval data/trimmed_clips/fine_grained_action_localization_1094.mp4,1,0,0,0,4,1408,1408,7929856,262144,563,2,0.01721170411054593
fine_grained_action_localization_1109,P02-20240211-111219,/content/drive/MyDrive/381V final project/eval data/trimmed_clips/fine_grained_action_localization_1109.mp4,3,0,0,0,4,1408,1408,7929856,262144,562,2,0.025386081128767116
fine_grained_action_localization_1122,P02-20240211-141313,/content/drive/MyDrive/381V final project/eval data/trimmed_clips/fine_grained_action_localization_1122.mp4,1,0,0,0,4,1408,1408,7929856,262144,563,2,0.01760821669984215
fine_grained_action_localization_1147,P02-20240211-120927,/content/drive/MyDrive/381V final project/eval data/trimmed_clips/fine_grained_action_localization_1147.mp4,3,2,0,2,4,1408,1408,7929856,262144,563,2,0.014270425275849225
fine_grained_action_localization_1181,P02-20240209-184316,/content/drive/MyDrive/381V final project/eval data/trimmed_clips/fine_grained_action_localization_1181.mp4,3,1,0,1,4,1408,1408,7929856,262144,563,2,0.014736583236799604
fine_grained_action_localization_1191,P02-20240209-194141,/content/drive/MyDrive/381V final project/eval data/trimmed_clips/fine_grained_action_localization_1191.mp4,2,2,1,2,4,1408,1408,7929856,262144,563,2,0.01241208086330839
fine_grained_action_localization_1215,P02-20240211-120927,/content/drive/MyDrive/381V final project/eval data/trimmed_clips/fine_grained_action_localization_1215.mp4,4,0,0,0,4,1408,1408,7929856,262144,565,2,0.010010845285367508
fine_grained_action_localization_1239,P02-20240211-175138,/content/drive/MyDrive/381V final project/eval data/trimmed_clips/fine_grained_action_localization_1239.mp4,2,0,0,0,4,1408,1408,7929856,262144,562,2,0.027855152620620178
fine_grained_action_localization_1256,P02-20240209-184316,/content/drive/MyDrive/381V final project/eval data/trimmed_clips/fine_grained_action_localization_1256.mp4,3,0,0,0,4,1408,1408,7929856,262144,563,2,0.0112771358661335
fine_grained_action_localization_1271,P02-20240211-120927,/content/drive/MyDrive/381V final project/eval data/trimmed_clips/fine_grained_action_localization_1271.mp4,0,1,0,1,4,1408,1408,7929856,262144,564,2,0.010010845285367508
fine_grained_action_localization_1280,P02-20240210-195833,/content/drive/MyDrive/381V final project/eval data/trimmed_clips/fine_grained_action_localization_1280.mp4,1,2,0,2,4,1408,1408,7929856,262144,563,2,0.020157903886426874
fine_grained_action_localization_1290,P02-20240211-120927,/content/drive/MyDrive/381V final project/eval data/trimmed_clips/fine_grained_action_localization_1290.mp4,3,3,1,3,4,1408,1408,7929856,262144,565,2,0.01306051414727566
fine_grained_action_localization_1310,P02-20240211-120927,/content/drive/MyDrive/381V final project/eval data/trimmed_clips/fine_grained_action_localization_1310.mp4,4,2,0,2,4,1408,1408,7929856,262144,564,2,0.016652789190145397
fine_grained_action_localization_1318,P02-20240209-184316,/content/drive/MyDrive/381V final project/eval data/trimmed_clips/fine_grained_action_localization_1318.mp4,1,0,0,0,4,1408,1408,7929856,262144,563,2,0.021711598340379386
fine_grained_action_localization_1363,P02-20240209-194141,/content/drive/MyDrive/381V final project/eval data/trimmed_clips/fine_grained_action_localization_1363.mp4,3,0,0,0,4,1408,1408,7929856,262144,562,2,0.009761652729387548
fine_grained_action_localization_1369,P02-20240211-175138,/content/drive/MyDrive/381V final project/eval data/trimmed_clips/fine_grained_action_localization_1369.mp4,1,0,0,0,4,1408,1408,7929856,262144,562,2,0.011595322809855545
fine_grained_action_localization_1401,P02-20240209-194141,/content/drive/MyDrive/381V final project/eval data/trimmed_clips/fine_grained_action_localization_1401.mp4,4,0,0,0,4,1408,1408,7929856,262144,564,2,0.01241208086330839
fine_grained_action_localization_1412,P02-20240209-194141,/content/drive/MyDrive/381V final project/eval data/trimmed_clips/fine_grained_action_localization_1412.mp4,0,1,0,1,4,1408,1408,7929856,262144,564,2,0.010024225364454135
fine_grained_action_localization_1421,P02-20240211-175138,/content/drive/MyDrive/381V final project/eval data/trimmed_clips/fine_grained_action_localization_1421.mp4,4,2,0,2,4,1408,1408,7929856,262144,564,2,0.02459520330544956
fine_grained_action_localization_1432,P02-20240210-195833,/content/drive/MyDrive/381V final project/eval data/trimmed_clips/fine_grained_action_localization_1432.mp4,2,0,0,0,4,1408,1408,7929856,262144,566,2,0.020157903886426874
fine_grained_action_localization_1443,P02-20240210-195833,/content/drive/MyDrive/381V final project/eval data/trimmed_clips/fine_grained_action_localization_1443.mp4,0,0,1,0,4,1408,1408,7929856,262144,563,2,0.020157903886426874
fine_grained_action_localization_1463,P02-20240209-184316,/content/drive/MyDrive/381V final project/eval data/trimmed_clips/fine_grained_action_localization_1463.mp4,4,0,0,0,4,1408,1408,7929856,262144,564,2,0.015833222999861462
fine_grained_action_localization_1488,P02-20240211-120927,/content/drive/MyDrive/381V final project/eval data/trimmed_clips/fine_grained_action_localization_1488.mp4,3,4,0,4,4,1408,1408,7929856,262144,563,2,0.014219694482173355
fine_grained_action_localization_1498,P02-20240211-104948,/content/drive/MyDrive/381V final project/eval data/trimmed_clips/fine_grained_action_localization_1498.mp4,2,2,1,2,4,1408,1408,7929856,262144,562,2,0.033268645155964206
fine_grained_action_localization_1504,P02-20240211-120927,/content/drive/MyDrive/381V final project/eval data/trimmed_clips/fine_grained_action_localization_1504.mp4,3,4,0,4,4,1408,1408,7929856,262144,563,2,0.008150512769209722
fine_grained_action_localization_1513,P02-20240209-184316,/content/drive/MyDrive/381V final project/eval data/trimmed_clips/fine_grained_action_localization_1513.mp4,2,3,0,3,4,1408,1408,7929856,262144,563,2,0.020325202726012875
fine_grained_action_localization_1557,P02-20240209-184316,/content/drive/MyDrive/381V final project/eval data/trimmed_clips/fine_grained_action_localization_1557.mp4,1,3,0,3,4,1408,1408,7929856,262144,562,2,0.01579155132968026
fine_grained_action_localization_1566,P02-20240211-175138,/content/drive/MyDrive/381V final project/eval data/trimmed_clips/fine_grained_action_localization_1566.mp4,2,4,0,4,4,1408,1408,7929856,262144,562,2,0.035149385669113235
fine_grained_action_localization_1576,P02-20240211-141313,/content/drive/MyDrive/381V final project/eval data/trimmed_clips/fine_grained_action_localization_1576.mp4,3,0,0,0,4,1408,1408,7929856,262144,563,2,0.01760821669984215
fine_grained_action_localization_1584,P02-20240211-175138,/content/drive/MyDrive/381V final project/eval data/trimmed_clips/fine_grained_action_localization_1584.mp4,1,1,1,1,4,1408,1408,7929856,262144,562,2,0.010028413889963554
fine_grained_action_localization_1605,P02-20240209-184316,/content/drive/MyDrive/381V final project/eval data/trimmed_clips/fine_grained_action_localization_1605.mp4,0,0,1,0,4,1408,1408,7929856,262144,562,2,0.013922728758958131
fine_grained_action_localization_1641,P02-20240209-194141,/content/drive/MyDrive/381V final project/eval data/trimmed_clips/fine_grained_action_localization_1641.mp4,1,0,0,0,4,1408,1408,7929856,262144,563,2,0.009761652729387548
fine_grained_action_localization_1654,P02-20240211-141313,/content/drive/MyDrive/381V final project/eval data/trimmed_clips/fine_grained_action_localization_1654.mp4,4,0,0,0,4,1408,1408,7929856,262144,565,2,0.009039547856316964
fine_grained_action_localization_1662,P02-20240211-175138,/content/drive/MyDrive/381V final project/eval data/trimmed_clips/fine_grained_action_localization_1662.mp4,1,0,0,0,4,1408,1408,7929856,262144,562,2,0.011595322809855545
fine_grained_action_localization_1715,P02-20240211-111822,/content/drive/MyDrive/381V final project/eval data/trimmed_clips/fine_grained_action_localization_1715.mp4,3,1,0,1,4,1408,1408,7929856,262144,565,2,0.008970621050519314
fine_grained_action_localization_1723,P02-20240209-184316,/content/drive/MyDrive/381V final project/eval data/trimmed_clips/fine_grained_action_localization_1723.mp4,1,0,0,0,4,1408,1408,7929856,262144,561,2,0.043525570324598924
fine_grained_action_localization_1738,P02-20240209-194141,/content/drive/MyDrive/381V final project/eval data/trimmed_clips/fine_grained_action_localization_1738.mp4,0,2,0,2,4,1408,1408,7929856,262144,562,2,0.010024225364454135
fine_grained_action_localization_1744,P02-20240211-175138,/content/drive/MyDrive/381V final project/eval data/trimmed_clips/fine_grained_action_localization_1744.mp4,1,2,0,2,4,1408,1408,7929856,262144,562,2,0.020026702889643894
fine_grained_action_localization_1767,P02-20240211-120927,/content/drive/MyDrive/381V final project/eval data/trimmed_clips/fine_grained_action_localization_1767.mp4,2,0,0,0,4,1408,1408,7929856,262144,563,2,0.00860955649472974
fine_grained_action_localization_1791,P02-20240211-111219,/content/drive/MyDrive/381V final project/eval data/trimmed_clips/fine_grained_action_localization_1791.mp4,3,0,0,0,4,1408,1408,7929856,262144,563,2,0.023081362068670317
fine_grained_action_localization_1812,P02-20240211-120927,/content/drive/MyDrive/381V final project/eval data/trimmed_clips/fine_grained_action_localization_1812.mp4,0,0,1,0,4,1408,1408,7929856,262144,566,2,0.017311021730120852
fine_grained_action_localization_1819,P02-20240211-175138,/content/drive/MyDrive/381V final project/eval data/trimmed_clips/fine_grained_action_localization_1819.mp4,2,2,1,2,4,1408,1408,7929856,262144,564,2,0.014130946776607707
fine_grained_action_localization_1830,P02-20240209-194141,/content/drive/MyDrive/381V final project/eval data/trimmed_clips/fine_grained_action_localization_1830.mp4,2,0,0,0,4,1408,1408,7929856,262144,563,2,0.009761652729387548
fine_grained_action_localization_1860,P02-20240211-120927,/content/drive/MyDrive/381V final project/eval data/trimmed_clips/fine_grained_action_localization_1860.mp4,4,3,0,3,4,1408,1408,7929856,262144,564,2,0.01658833259221604
fine_grained_action_localization_1869,P02-20240211-111822,/content/drive/MyDrive/381V final project/eval data/trimmed_clips/fine_grained_action_localization_1869.mp4,2,1,0,1,4,1408,1408,7929856,262144,562,2,0.014596764925325264
fine_grained_action_localization_1906,P02-20240209-184316,/content/drive/MyDrive/381V final project/eval data/trimmed_clips/fine_grained_action_localization_1906.mp4,1,3,0,3,4,1408,1408,7929856,262144,563,2,0.02814919011567732
fine_grained_action_localization_1929,P02-20240211-175138,/content/drive/MyDrive/381V final project/eval data/trimmed_clips/fine_grained_action_localization_1929.mp4,3,0,0,0,4,1408,1408,7929856,262144,564,2,0.016673613510373293
fine_grained_action_localization_1937,P02-20240210-122334,/content/drive/MyDrive/381V final project/eval data/trimmed_clips/fine_grained_action_localization_1937.mp4,0,2,0,2,4,1408,1408,7929856,262144,563,2,0.012630249930449452
fine_grained_action_localization_1951,P02-20240209-194141,/content/drive/MyDrive/381V final project/eval data/trimmed_clips/fine_grained_action_localization_1951.mp4,0,0,1,0,4,1408,1408,7929856,262144,564,2,0.011835486377909767
fine_grained_action_localization_1972,P02-20240211-141313,/content/drive/MyDrive/381V final project/eval data/trimmed_clips/fine_grained_action_localization_1972.mp4,1,1,1,1,4,1408,1408,7929856,262144,565,2,0.02372010206720269
fine_grained_action_localization_1992,P02-20240209-184316,/content/drive/MyDrive/381V final project/eval data/trimmed_clips/fine_grained_action_localization_1992.mp4,2,3,0,3,4,1408,1408,7929856,262144,562,2,0.030816640019257498
fine_grained_action_localization_2015,P02-20240211-111219,/content/drive/MyDrive/381V final project/eval data/trimmed_clips/fine_grained_action_localization_2015.mp4,2,2,1,2,4,1408,1408,7929856,262144,563,2,0.023081362068670317
fine_grained_action_localization_2027,P02-20240211-175138,/content/drive/MyDrive/381V final project/eval data/trimmed_clips/fine_grained_action_localization_2027.mp4,2,2,1,2,4,1408,1408,7929856,262144,562,2,0.027855152620620178
fine_grained_action_localization_2036,P02-20240211-175138,/content/drive/MyDrive/381V final project/eval data/trimmed_clips/fine_grained_action_localization_2036.mp4,3,0,0,0,4,1408,1408,7929856,262144,562,2,0.010028413889963554
fine_grained_action_localization_2042,P02-20240210-220650,/content/drive/MyDrive/381V final project/eval data/trimmed_clips/fine_grained_action_localization_2042.mp4,2,1,0,1,4,1408,1408,7929856,262144,560,2,0.09764036220074865
fine_grained_action_localization_2047,P02-20240211-111822,/content/drive/MyDrive/381V final project/eval data/trimmed_clips/fine_grained_action_localization_2047.mp4,2,0,0,0,4,1408,1408,7929856,262144,564,2,0.01170731707044757
fine_grained_action_localization_2076,P02-20240211-115653,/content/drive/MyDrive/381V final project/eval data/trimmed_clips/fine_grained_action_localization_2076.mp4,2,2,1,2,4,1408,1408,7929856,262144,563,2,0.015764582548657587
fine_grained_action_localization_2088,P02-20240210-122334,/content/drive/MyDrive/381V final project/eval data/trimmed_clips/fine_grained_action_localization_2088.mp4,4,2,0,2,4,1408,1408,7929856,262144,565,2,0.01938610710146772
fine_grained_action_localization_2097,P02-20240211-111219,/content/drive/MyDrive/381V final project/eval data/trimmed_clips/fine_grained_action_localization_2097.mp4,1,3,0,3,4,1408,1408,7929856,262144,563,2,0.023242300300355553
fine_grained_action_localization_2130,P02-20240211-120927,/content/drive/MyDrive/381V final project/eval data/trimmed_clips/fine_grained_action_localization_2130.mp4,4,0,0,0,4,1408,1408,7929856,262144,565,2,0.02477291589250763
fine_grained_action_localization_2153,P02-20240209-194141,/content/drive/MyDrive/381V final project/eval data/trimmed_clips/fine_grained_action_localization_2153.mp4,1,1,1,1,4,1408,1408,7929856,262144,562,2,0.010024225364454135
fine_grained_action_localization_2161,P02-20240211-141313,/content/drive/MyDrive/381V final project/eval data/trimmed_clips/fine_grained_action_localization_2161.mp4,3,0,0,0,4,1408,1408,7929856,262144,565,2,0.0192585457763954
fine_grained_action_localization_2179,P02-20240209-194141,/content/drive/MyDrive/381V final project/eval data/trimmed_clips/fine_grained_action_localization_2179.mp4,0,3,0,3,4,1408,1408,7929856,262144,563,2,0.010024225364454135
fine_grained_action_localization_2190,P02-20240210-122334,/content/drive/MyDrive/381V final project/eval data/trimmed_clips/fine_grained_action_localization_2190.mp4,3,1,0,1,4,1408,1408,7929856,262144,563,2,0.012630249930449452
fine_grained_action_localization_2202,P02-20240211-175138,/content/drive/MyDrive/381V final project/eval data/trimmed_clips/fine_grained_action_localization_2202.mp4,3,3,1,3,4,1408,1408,7929856,262144,562,2,0.020026702889643894
fine_grained_action_localization_2215,P02-20240209-184316,/content/drive/MyDrive/381V final project/eval data/trimmed_clips/fine_grained_action_localization_2215.mp4,4,1,0,1,4,1408,1408,7929856,262144,562,2,0.020325202726012875
fine_grained_action_localization_2240,P02-20240211-111822,/content/drive/MyDrive/381V final project/eval data/trimmed_clips/fine_grained_action_localization_2240.mp4,3,0,0,0,4,1408,1408,7929856,262144,562,2,0.014251781575904563
fine_grained_action_localization_2272,P02-20240209-184316,/content/drive/MyDrive/381V final project/eval data/trimmed_clips/fine_grained_action_localization_2272.mp4,3,2,0,2,4,1408,1408,7929856,262144,562,2,0.030816640019257498
fine_grained_action_localization_2291,P02-20240209-194141,/content/drive/MyDrive/381V final project/eval data/trimmed_clips/fine_grained_action_localization_2291.mp4,4,2,0,2,4,1408,1408,7929856,262144,563,2,0.010024225364454135
fine_grained_action_localization_2316,P02-20240211-111219,/content/drive/MyDrive/381V final project/eval data/trimmed_clips/fine_grained_action_localization_2316.mp4,4,2,0,2,4,1408,1408,7929856,262144,563,2,0.023081362068670317
fine_grained_action_localization_2342,P02-20240211-175138,/content/drive/MyDrive/381V final project/eval data/trimmed_clips/fine_grained_action_localization_2342.mp4,1,1,1,1,4,1408,1408,7929856,262144,561,2,0.035149385669113235
fine_grained_action_localization_2363,P02-20240211-175138,/content/drive/MyDrive/381V final project/eval data/trimmed_clips/fine_grained_action_localization_2363.mp4,1,0,0,0,4,1408,1408,7929856,262144,563,2,0.016673613510373293
fine_grained_action_localization_2400,P02-20240211-175138,/content/drive/MyDrive/381V final project/eval data/trimmed_clips/fine_grained_action_localization_2400.mp4,0,0,1,0,4,1408,1408,7929856,262144,562,2,0.011595322809855545
